Base,Tópico,Modelo,Weighted,Weighted F1 Avg,Weighted F1 Max,Weighted F1 Min,Weighted F1 Top-k Avg,Precision Avg,Recall Avg,F1 Avg,Precision Max,Recall Max,F1 Max,Precision Min,Recall Min,F1 Min,Precision Top-k Avg,Recall Top-k Avg,F1 Top-k Avg
Atos Golpistas,0,Llama 3.1,0.5019853800322528,0.5079287814169664,0.5327929597426173,0.484140601991319,0.5282631920844134,0.597647290963393,0.5967607272359041,0.5971448395114679,0.6325925588607788,0.6326018571853638,0.6263763308525085,0.5621067881584167,0.5662319660186768,0.5691783428192139,0.6253926753997803,0.6212325483560562,0.6210509240627289
Atos Golpistas,1,Llama 3.1,0.036327587654432614,0.3715344774423038,0.401026804700573,0.3505125752593429,0.38957962540306174,0.5884774653472711,0.47015199944945313,0.5226267805542321,0.6217914819717407,0.533463716506958,0.5641127824783325,0.5527824759483337,0.436413049697876,0.49305588006973267,0.6123978555202484,0.5071876093745231,0.5480103671550751
Atos Golpistas,2,Llama 3.1,0.5694272155365052,0.4478932690141924,0.49870945175467923,0.37307226707240965,0.4904335633997322,0.5790561525468071,0.46339325040063606,0.5143302515813499,0.6233540773391724,0.5399333238601685,0.572684109210968,0.5344462394714355,0.35031917691230774,0.4284108877182007,0.613871157169342,0.5273935586214066,0.5631806403398514
Atos Golpistas,3,Llama 3.1,0.8928478164310317,0.6079479085328591,0.6564127259636551,0.48871400062370085,0.6495750589085496,0.6256139958551687,0.6316774085048558,0.628139876333626,0.7166330218315125,0.7091619372367859,0.6782143712043762,0.5361890196800232,0.4758419692516327,0.5049458146095276,0.6881660968065262,0.6962194412946701,0.6711496025323868
Atos Golpistas,14,Llama 3.1,0.961672161500547,0.5532960838019167,0.6149350873064642,0.4799218002887532,0.6052857986510146,0.5832489076782675,0.5405463921673158,0.5597320800318437,0.6501073241233826,0.6340592503547668,0.6220880746841431,0.5289809703826904,0.44863152503967285,0.48550429940223694,0.6127373218536377,0.6231792896986008,0.6123265445232391
Atos Golpistas,15,Llama 3.1,0.8011256926556695,0.5830177390793118,0.6170012822515182,0.5553122348138363,0.6011059430696947,0.6232079253720411,0.616940329185111,0.6200088906839404,0.6685707569122314,0.6447391510009766,0.6561486124992371,0.5695159435272217,0.5802885890007019,0.5905455350875854,0.6448850989341736,0.6375223994255066,0.6392447501420975
Atos Golpistas,9,Llama 3.1,0.9675104649393647,0.6245127640126069,0.6506422972855074,0.5957105457910429,0.6401036091865733,0.6294474346857322,0.6323524325301773,0.6306597163018427,0.6644777059555054,0.6720227003097534,0.6570464372634888,0.6009191274642944,0.583774745464325,0.6015740036964417,0.6495738804340363,0.659445396065712,0.646404018998146
Atos Golpistas,17,Llama 3.1,0.9554520341300146,0.5563858163539699,0.5885851062926455,0.5212738066687811,0.5805478903706767,0.5878469633091776,0.5425284176108893,0.5639222936816461,0.6383068561553955,0.597335934638977,0.5965577363967896,0.5274564027786255,0.49121564626693726,0.5283346772193909,0.6265862077474594,0.5762202978134155,0.5884116530418396
Atos Golpistas,13,Llama 3.1,0.9687534998320081,0.6167711643803535,0.6535540073853028,0.5844704653624258,0.6358911839605833,0.616031856865299,0.6295057492596763,0.6226074555698706,0.6606543064117432,0.6708477139472961,0.6597383618354797,0.5766419768333435,0.5931204557418823,0.590001106262207,0.6371414482593536,0.6544337391853332,0.6419084012508393
Atos Golpistas,18,Llama 3.1,0.9690774660506571,0.570297938956777,0.6146838606953537,0.474327933417956,0.5989825787589611,0.5946341253078735,0.5582702071817072,0.5756379945858104,0.665300726890564,0.6078281402587891,0.6204395294189453,0.417545884847641,0.5134301781654358,0.47876936197280884,0.6298859238624572,0.594948735833168,0.6045912265777588
Atos Golpistas,8,Llama 3.1,0.025542659336184076,0.35869409966409044,0.3826105949616534,0.33736456291786254,0.3710856741294019,0.5862783888154779,0.44655405883946697,0.5068714941336103,0.6339114308357239,0.48114123940467834,0.5406679511070251,0.5379050970077515,0.41174888610839844,0.47673067450523376,0.604620224237442,0.4676721662282944,0.5243820577859879
Atos Golpistas,11,Llama 3.1,0.9086700320722942,0.5731347434534471,0.6089139592250614,0.5312042144152735,0.5991377289654619,0.6179040245051626,0.5632972252331202,0.5892804323495189,0.6626665592193604,0.6013226509094238,0.626067578792572,0.5675314664840698,0.52093505859375,0.5461686849594116,0.6477933824062347,0.5925767421722412,0.6160159438848496
Atos Golpistas,12,Llama 3.1,0.9149174859920178,0.4755589142591459,0.5378165758380626,0.450611747940976,0.5281766729412238,0.504577742913925,0.47289014096863924,0.4880153870608609,0.5926411151885986,0.5302692651748657,0.5519037842750549,0.4341702461242676,0.436115562915802,0.46241477131843567,0.5751610189676285,0.5158819913864136,0.5420113801956177
Atos Golpistas,6,Llama 3.1,0.8573304251007375,0.5929247062817324,0.6501412231657266,0.5473615998789673,0.6284833127386088,0.6601988518116425,0.5871313966962756,0.6194371570433889,0.7577883005142212,0.6662015914916992,0.6792120933532715,0.5856301188468933,0.5122454166412354,0.5718367099761963,0.7427440255880355,0.6458010703325272,0.6565857559442521
Atos Golpistas,10,Llama 3.1,0.9269283192663408,0.6029654443413941,0.6522791292554788,0.5529982402540068,0.635224876784871,0.6409923208336676,0.593949540007499,0.6164796045951305,0.6961888074874878,0.6473591327667236,0.6668985486030579,0.5838193893432617,0.5310581922531128,0.5653924942016602,0.6777127742767334,0.6287987530231476,0.6494620621204377
Atos Golpistas,19,Llama 3.1,0.9732240841962675,0.5091645118305204,0.5684942593170987,0.43943594140666586,0.5530804743479328,0.5311273620242164,0.49712754869873904,0.5132876357861927,0.610893189907074,0.550125002861023,0.573097825050354,0.4115004241466522,0.45209991931915283,0.4429944157600403,0.5923305034637452,0.5405815064907074,0.5575592219829559
Atos Golpistas,7,Llama 3.1,0.8798256794415152,0.5689389297655415,0.6455897017115937,0.5255530694840258,0.6184837229026512,0.6195713151192319,0.5639557871265688,0.5902176305867624,0.7078706622123718,0.6419764757156372,0.6697351932525635,0.5151517987251282,0.5089066028594971,0.5452091097831726,0.6871391296386719,0.6073330700397491,0.6416154325008392
Atos Golpistas,5,Llama 3.1,0.815050846733608,0.5504101731484741,0.5939128006652312,0.5110228443489989,0.5728422129076643,0.5992444336414338,0.5672291000684102,0.5827435510499137,0.657852292060852,0.6022083759307861,0.628801703453064,0.5441102981567383,0.5293775796890259,0.5410424470901489,0.6290405094623566,0.5883187532424927,0.60649334192276
Atos Golpistas,16,Llama 3.1,0.8194967598873873,0.6029630257461189,0.652886197277839,0.5593001031565583,0.6360512851168805,0.6623163531879483,0.6146526451643348,0.6374833698805213,0.7152714729309082,0.6669493317604065,0.6902647018432617,0.5882843136787415,0.5678492784500122,0.5913206934928894,0.6985741585493088,0.6524404942989349,0.6724659711122513
Lula,11,Llama 2,0.9518523253357964,0.5974383581201846,0.6607125682216408,0.533677795556752,0.6346318939735063,0.614657229324079,0.5981590073034553,0.6061944135421299,0.6897707581520081,0.6520798206329346,0.6703959703445435,0.4876268804073334,0.5394220352172852,0.5414993762969971,0.6558731973171235,0.6351707398891449,0.6439330577850342
Lula,2,Llama 2,0.9622751501197379,0.596392151686583,0.6529123135887311,0.5391636030595364,0.6315688197884628,0.57975237823949,0.6296330218267913,0.60321905618847,0.6254725456237793,0.700235903263092,0.6603862047195435,0.5380801558494568,0.5452365875244141,0.5453354120254517,0.6169609397649765,0.6710360705852508,0.6387983918190002
Lula,9,Llama 2,0.7533316133514868,0.4498905006639286,0.5009565114185224,0.4269618150850586,0.4822949947200514,0.5042400827774635,0.4690326906167544,0.4858431440133315,0.5728594064712524,0.512479841709137,0.5409900546073914,0.4724928140640259,0.4312727451324463,0.4610821306705475,0.5510971009731293,0.49715865701436995,0.5208372175693512
Lula,0,Llama 2,0.8560489496963503,0.49500184061062086,0.5342355087063674,0.43368768190149176,0.5288464136212513,0.5554740874872853,0.4843274475851407,0.5173434818862006,0.5957829356193542,0.5302118062973022,0.5583479404449463,0.5098462104797363,0.4039306640625,0.45326194167137146,0.5903872132301331,0.5239263296127319,0.5527156114578247
Lula,3,Llama 2,0.9674570373443008,0.5114594462768423,0.5396117791503315,0.46917995394173395,0.5322263356154604,0.5270163628119456,0.5070125134308127,0.5165019978450823,0.5664129257202148,0.552592396736145,0.5449318885803223,0.4290437698364258,0.4576835036277771,0.47380566596984863,0.5545131713151932,0.5387633711099624,0.5374736309051513
Lula,4,Llama 2,0.9646669771502459,0.5413433621143625,0.5722716833161464,0.5119853401338392,0.5653860527225152,0.5643957904225142,0.5309795739034175,0.5471430272394228,0.5946774482727051,0.5664117336273193,0.5784026980400085,0.5244153141975403,0.4912557899951935,0.5174704790115356,0.5894757360219955,0.5575391739606858,0.5714432984590531
Lula,8,Llama 2,0.9171141945829446,0.5483860933370052,0.5921394434283943,0.4628370965415245,0.5884078984677217,0.5972795199764811,0.5339901959928481,0.5623698363863472,0.672505795955658,0.601061999797821,0.6072388887405396,0.5242500305175781,0.3972317576408386,0.474639356136322,0.6438604921102524,0.595164880156517,0.603412190079689
Lula,16,Llama 2,0.9826244056656925,0.6316731549553605,0.6657902432892062,0.5819694766169438,0.652122055101601,0.6482447327352038,0.6225802051086052,0.6349831176739112,0.678138256072998,0.6631100177764893,0.6692789793014526,0.5779885053634644,0.5816017389297485,0.5850189924240112,0.6680792391300201,0.6519281238317489,0.6555391699075699
Lula,5,Llama 2,0.9445718017646627,0.5187851680042086,0.5683266876267208,0.4743802775707713,0.5446549147729969,0.5603738335626466,0.499335650993245,0.5275576388197286,0.6261097192764282,0.5566678643226624,0.5779368877410889,0.481140673160553,0.4289703667163849,0.48240187764167786,0.6001827418804169,0.5384592145681382,0.5538648337125778
Lula,10,Llama 2,0.9466147594958322,0.5870886450461518,0.6234276624887958,0.5585183703894616,0.6108198212535938,0.6020534871904938,0.592756381465329,0.5966442439843107,0.6513115167617798,0.660938024520874,0.6335747241973877,0.5497005581855774,0.5421093702316284,0.5676089525222778,0.6351377069950104,0.6383186191320419,0.6207616746425628
Lula,13,Llama 2,0.9920897226024754,0.5591152595220109,0.5861532414554056,0.5261467282222584,0.578720430901067,0.5703020507097244,0.551884705622991,0.5604452427228291,0.5965183973312378,0.6055694818496704,0.5875475406646729,0.47406110167503357,0.5050878524780273,0.5273982882499695,0.5864371955394745,0.5834815442562103,0.5800970494747162
Lula,7,Llama 2,0.8465716879931855,0.5407070278326446,0.5689911600138124,0.5161778007072383,0.5544871871654793,0.6018105985888516,0.5357358847037855,0.5667957839477493,0.629216730594635,0.5669173002243042,0.5964446067810059,0.540614664554596,0.5058091282844543,0.541083037853241,0.6175039768218994,0.5527220964431763,0.5812408268451691
Lula,6,Llama 2,0.9155148728907195,0.558627302706002,0.6291815774194602,0.4873281604365356,0.6183107414967975,0.590164617627068,0.5610498283552913,0.5731542044508774,0.6274986267089844,0.6772908568382263,0.6455432176589966,0.5328677892684937,0.4482617974281311,0.5000009536743164,0.6174232453107834,0.6590276211500168,0.6343896895647049
Lula,17,Llama 2,0.9274453223900391,0.5051469867154199,0.5211303444703207,0.4595604370521347,0.5161874247066168,0.5527107880665706,0.4847063821095687,0.516386871612989,0.5719749331474304,0.5062625408172607,0.5327258706092834,0.5274572968482971,0.4234830141067505,0.46978598833084106,0.5638327986001969,0.4991230145096779,0.5276729673147201
Lula,14,Llama 2,0.8829409867784586,0.5842965417634997,0.6240326532084339,0.5122016641006513,0.6146719028833643,0.6338584754897767,0.5806741474055442,0.6055625066035936,0.7059813737869263,0.6282782554626465,0.6467448472976685,0.4845825433731079,0.5062448978424072,0.5308436751365662,0.687966912984848,0.6110450208187104,0.6370434045791626
Lula,15,Llama 2,0.9710088671196115,0.5744079164029976,0.6031956779668914,0.5207687737617253,0.5942316626927794,0.5980590344579132,0.5621286553365213,0.5794475688426582,0.6275395154953003,0.5972883701324463,0.6084879040718079,0.563628077507019,0.4903801679611206,0.525337815284729,0.6159016579389572,0.5896101266145706,0.599445241689682
Lula,12,Llama 2,0.97626515155394,0.5141784615640396,0.5618075353858966,0.48256792620877653,0.5503669223007243,0.5265195455091695,0.5098084849822853,0.517865902175092,0.589465856552124,0.5537391901016235,0.5658365488052368,0.4796222150325775,0.47823455929756165,0.48602867126464844,0.5732283413410186,0.5433296620845794,0.5543138891458511
Lula,1,Llama 2,0.8001295734982531,0.5517282254073687,0.591218510025351,0.5087275610371903,0.5799143925611991,0.6055839349989032,0.5699385787837058,0.5869206495732341,0.6543823480606079,0.6260777711868286,0.628929853439331,0.5563439130783081,0.5045298933982849,0.5411771535873413,0.649893918633461,0.6086474597454071,0.6169046938419342
